tweet_id,retweet_count,favorite_count
873337748698140672,1343,0
873213775632977920,1343,6399
872967104147763200,4620,24390
872820683541237760,3209,13231
872620804844003328,3109,18601
872486979161796608,7819,36599
872122724285648897,6947,30653
871879754684805121,9371,33580
871762521631449091,3013,18137
871515927908634625,2985,18142
871166179821445120,4951,0
871102520638267392,4759,18806
871032628920680449,3274,20447
870804317367881728,5341,30221
870726314365509632,3,106
870656317836468226,2233,11026
870374049280663552,23094,74997
870308999962521604,3596,19757
870063196459192321,7181,32834
869772420881756160,8806,38498
869702957897576449,5460,25386
869596645499047938,2671,14398
869227993411051520,3246,18376
868880397819494401,12441,58757
868639477480148993,1776,0
868622495443632128,4550,23972
868552278524837888,1776,9104
867900495410671616,3619,21884
867774946302451713,6332,30627
867421006826221569,2148,14538
867072653475098625,102,0
867051520902168576,6871,29102
866720684873056260,4174,18077
866686824827068416,3001,17366
866450705531457537,30702,110331
866334964761202691,12385,47237
866094527597207552,7268,0
865718153858494464,4921,23251
865359393868664832,4362,23936
865006731092295680,6759,25397
864873206498414592,7575,29194
864279568663928832,2619,13242
864197398364647424,7690,27008
863907417377173506,3640,18709
863553081350529029,3680,13852
863471782782697472,2112,0
863432100342583297,4614,21609
863427515083354112,81,1983
863079547188785154,969,7997
863062471531167744,2112,7623
862831371563274240,4520,17430
862722525377298433,3128,15547
862457590147678208,4306,18507
862096992088072192,20271,67169
861383897657036800,9404,32731
861288531465048066,3642,15566
861005113778896900,3378,15208
860981674716409858,1875,0
860924035999428608,688,0
860563773140209665,1875,6820
860524505164394496,4671,21565
860276583193509888,3114,16823
860184849394610176,5183,15204
860177593139703809,27199,0
859924526012018688,3637,17911
859851578198683649,3116,14155
859607811541651456,1375,17055
859196978902773760,26673,81738
859074603037188101,12131,30851
858860390427611136,7182,0
858843525470990336,3067,14314
858471635011153920,4320,19779
858107933456039936,2569,14446
857989990357356544,2294,14703
857746408056729600,9481,31250
857393404942143489,1459,5379
857263160327368704,4029,18475
